Этаж,Цена,Кол-во комнат
1,181197.12904678148,436.0
2,200054.5150391839,1118.0
3,197058.56501728648,1655.0
4,206755.15857097364,1837.0
5,208642.09789894617,1641.0
6,213620.81749058818,1514.0
7,219149.5303243075,1470.0
8,217291.3830829932,1207.0
9,218588.23258725172,1142.0
10,212030.10856026295,1028.0
11,213094.73584355388,844.0
12,211672.9267031881,786.0
13,215104.66430452594,745.0
14,231031.89658663285,686.0
15,234276.52857444278,549.0
16,222327.410321282,530.0
17,219896.4147641008,496.0
18,230055.47740269735,347.0
19,229093.75251197885,233.0
20,244087.21346452634,123.0
21,243138.00909869597,105.0
22,289708.5859883191,125.0
23,277347.73904932814,49.0
24,262331.0966424969,100.0
25,270813.2329975531,76.0
26,313255.14964756154,42.0
27,238152.82740743255,10.0
28,310932.4928469996,4.0
31,117647.46100182256,1.0
32,245640.18876183615,2.0
33,389554.06353963056,1.0
37,269113.58424784447,1.0
42,411691.5047664268,2.0
